	Accuracy	Precision	Recall	F1_score
NB_fold_0	0.8893	0.887	0.9999	0.9401
LR_fold_0	0.9808	1.0	0.9808	0.9903
DT_fold_0	0.9997	0.9998	0.9999	0.9999
CatB_fold_0	0.9999	0.9999	0.9999	0.9999
LightB_fold_0	0.9999	1.0	0.9999	0.9999
XGBoost_fold_0	0.9999	1.0	0.9999	0.9999
NB_fold_1	0.8446	0.8415	0.9997	0.9138
LR_fold_1	0.9807	1.0	0.9807	0.9902
DT_fold_1	0.9997	1.0	0.9997	0.9998
CatB_fold_1	0.9997	1.0	0.9997	0.9998
LightB_fold_1	0.9996	0.9999	0.9997	0.9998
XGBoost_fold_1	0.9997	1.0	0.9997	0.9998
NB_fold_2	0.8441	0.8409	0.9998	0.9135
LR_fold_2	0.9804	1.0	0.9803	0.9901
DT_fold_2	0.9997	0.9999	0.9999	0.9999
CatB_fold_2	0.9997	1.0	0.9997	0.9998
LightB_fold_2	0.9997	1.0	0.9997	0.9998
XGBoost_fold_2	0.9997	1.0	0.9997	0.9998
NB_fold_3	0.8455	0.8424	0.9998	0.9143
LR_fold_3	0.9806	1.0	0.9806	0.9902
DT_fold_3	0.9997	0.9999	0.9999	0.9999
CatB_fold_3	0.9999	1.0	0.9999	0.9999
LightB_fold_3	0.9999	1.0	0.9999	0.9999
XGBoost_fold_3	0.9999	1.0	0.9999	0.9999
NB_fold_4	0.8403	0.8369	0.9999	0.9112
LR_fold_4	0.9806	1.0	0.9805	0.9902
DT_fold_4	0.9999	0.9999	0.9999	0.9999
CatB_fold_4	0.9999	1.0	0.9999	1.0
LightB_fold_4	1.0	1.0	1.0	1.0
XGBoost_fold_4	1.0	1.0	1.0	1.0
